first_day,sensor_id,sensor_file,file_url,sensor_type,location,lat,lon,timestamp,pressure,altitude,pressure_sealevel,temperature,humidity,P1,durP1,ratioP1,P2,durP2,ratioP2,P0
2019-01-01,1004,2019-01-01_sds011_sensor_1004.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_1004.csv,SDS011,491,53.481,10.174,2019-01-01T00:01:55Z,NA,NA,NA,NA,NA,49.83,NA,NA,33.4,NA,NA,NA
2019-01-01,10041,2019-01-01_sds011_sensor_10041.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10041.csv,SDS011,5061,49.068,12.058,2019-01-01T00:02:10Z,NA,NA,NA,NA,NA,96.23,NA,NA,40.6,NA,NA,NA
2019-01-01,10043,2019-01-01_sds011_sensor_10043.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10043.csv,SDS011,5062,49.351,7.642,2019-01-01T00:01:32Z,NA,NA,NA,NA,NA,110.5,NA,NA,77.5,NA,NA,NA
2019-01-01,10045,2019-01-01_sds011_sensor_10045.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10045.csv,SDS011,5063,50.878,4.741,2019-01-01T00:00:05Z,NA,NA,NA,NA,NA,14.3,NA,NA,10.7,NA,NA,NA
2019-01-01,10050,2019-01-01_sds011_sensor_10050.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10050.csv,SDS011,5065,46.943,7.432,2019-01-01T00:00:20Z,NA,NA,NA,NA,NA,76.07,NA,NA,54.37,NA,NA,NA
2019-01-01,10056,2019-01-01_sds011_sensor_10056.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10056.csv,SDS011,5068,51.287,7.518,2019-01-01T00:00:32Z,NA,NA,NA,NA,NA,30.23,NA,NA,22.47,NA,NA,NA
2019-01-01,10059,2019-01-01_sds011_sensor_10059.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10059.csv,SDS011,5069,49.305,8.635,2019-01-01T00:02:05Z,NA,NA,NA,NA,NA,160.57,NA,NA,109.43,NA,NA,NA
2019-01-01,10061,2019-01-01_sds011_sensor_10061.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10061.csv,SDS011,5070,52.382,5.271,2019-01-01T00:01:32Z,NA,NA,NA,NA,NA,51.53,NA,NA,47.98,NA,NA,NA
2019-01-01,10063,2019-01-01_sds011_sensor_10063.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10063.csv,SDS011,5071,52.359,13.135,2019-01-01T00:04:25Z,NA,NA,NA,NA,NA,0.83,NA,NA,0.83,NA,NA,NA
2019-01-01,10065,2019-01-01_sds011_sensor_10065.csv,http://archive.luftdaten.info/2019-01-01/2019-01-01_sds011_sensor_10065.csv,SDS011,5072,48.735,9.336,2019-01-01T15:40:31Z,NA,NA,NA,NA,NA,1.53,NA,NA,1.43,NA,NA,NA
